"group","family","genus","taxa_link","Rang","sensitivity","generation_time","refuge","exposition"
"Odonata","Cordulegastridae","Cordulegastridae","Cordulegastridae Gen. sp.","family",-0.96,3.5,1,1
"Odonata","Cordulegastridae","Cordulegastrinae","Cordulegastrinae Gen. sp.","genus",-0.96,3.5,1,1
"Odonata","Corduliidae","Cordulia","Cordulia aenea","species",-0.96,2,1,1
"Odonata","Corduliidae","Cordulia","Cordulia sp.","genus",-0.96,2,1,1
"Odonata","Corduliidae","Corduliidae","Corduliidae Gen. sp.","family",-0.96,1,1,1
"Odonata","Corduliidae","Corduliinae","Corduliinae Gen. sp.","genus",-0.96,1,1,1
"Odonata","Corduliidae","Epitheca","Epitheca bimaculata","species",-0.96,1,1,1
"Odonata","Corduliidae","Epitheca","Epitheca sp.","genus",-0.96,1,1,1
"Odonata","Corduliidae","Macromia","Macromia amphigena","species",-0.96,1,1,1
"Odonata","Corduliidae","Macromia","Macromia sp.","genus",-0.96,1,1,1
"Odonata","Corduliidae","Macromiinae","Macromiinae Gen. sp.","genus",-0.96,1,1,1
"Odonata","Corduliidae","Marcromia","Marcromia sp.","genus",-0.96,1,1,1
"Odonata","Corduliidae","Marcromia","Marcromia splendens","species",-0.96,1,1,1
"Odonata","Corduliidae","Oxygastra","Oxygastra curtisii","species",-0.96,1,1,1
"Odonata","Corduliidae","Oxygastra","Oxygastra sp.","genus",-0.96,1,1,1
"Odonata","Corduliidae","Somatochlora","Somatochlora alpestris","species",-0.96,1,1,1
"Odonata","Corduliidae","Somatochlora","Somatochlora arctica","species",-0.96,1,1,1
"Odonata","Corduliidae","Somatochlora","Somatochlora flavomaculata","species",-0.96,1,1,1
"Odonata","Corduliidae","Somatochlora","Somatochlora meridionalis","species",-0.96,1,1,1
"Odonata","Corduliidae","Somatochlora","Somatochlora metallica","species",-0.96,1,1,1
"Odonata","Corduliidae","Somatochlora","Somatochlora sahlbergi","species",-0.96,1,1,1
"Odonata","Corduliidae","Somatochlora","Somatochlora sp.","genus",-0.96,1,1,1
"Odonata","Euphaeidae","Epallage","Epallage fatime","species",-0.96,1.5,1,1
"Odonata","Euphaeidae","Epallage","Epallage sp.","genus",-0.96,1.5,1,1
"Odonata","Euphaeidae","Euphaeidae","Euphaeidae Gen. sp.","family",-0.96,1.5,1,1
"Odonata","Gomphidae","Gomphidae","Gomphidae Gen. sp.","family",-0.96,2,1,1
"Odonata","Gomphidae","Gomphinae","Gomphinae Gen. sp.","genus",-0.96,2,1,1
"Odonata","Gomphidae","Gomphus","Gomphus davidi","species",-0.96,3,1,1
"Odonata","Gomphidae","Gomphus","Gomphus epophthalmus","species",-0.96,3,1,1
"Odonata","Gomphidae","Gomphus","Gomphus flavipes","species",-0.96,3,1,1
"Odonata","Gomphidae","Gomphus","Gomphus graslini","species",-0.96,3,1,1
"Odonata","Gomphidae","Gomphus","Gomphus lucasi","species",-0.96,3,1,1
"Odonata","Gomphidae","Gomphus","Gomphus pulchellus","species",-0.96,3,1,1
"Odonata","Gomphidae","Gomphus","Gomphus schneideri","species",-0.96,3,1,1
"Odonata","Gomphidae","Gomphus","Gomphus simillimus","species",-0.96,3,1,1
"Odonata","Gomphidae","Gomphus","Gomphus sp.","genus",-0.96,3,1,1
"Odonata","Gomphidae","Gomphus","Gomphus vulgatissimus","species",-0.96,3,1,1
"Odonata","Gomphidae","Lindenia","Lindenia sp.","genus",-0.96,2,1,1
"Odonata","Gomphidae","Lindenia","Lindenia tetraphylla","species",-0.96,2,1,1
"Odonata","Gomphidae","Nihonogomphus","Nihonogomphus ruptus","species",-0.96,2,1,1
"Odonata","Gomphidae","Nihonogomphus","Nihonogomphus sp.","genus",-0.96,2,1,1
"Odonata","Gomphidae","Onychogomphinae","Onychogomphinae Gen. sp.","genus",-0.96,2,1,1
"Odonata","Gomphidae","Onychogomphus","Onychogomphus assimilis","species",-0.96,2,1,1
"Odonata","Gomphidae","Onychogomphus","Onychogomphus costae","species",-0.96,2,1,1
"Odonata","Gomphidae","Onychogomphus","Onychogomphus flexuosus","species",-0.96,2,1,1
"Odonata","Gomphidae","Onychogomphus","Onychogomphus forcipatus ssp.","subspecies",-0.96,2,1,1
"Odonata","Gomphidae","Onychogomphus","Onychogomphus lefebvrii","species",-0.96,2,1,1
"Odonata","Gomphidae","Onychogomphus","Onychogomphus macrodon","species",-0.96,2,1,1
"Odonata","Gomphidae","Onychogomphus","Onychogomphus sp.","genus",-0.96,2,1,1
"Odonata","Gomphidae","Onychogomphus","Onychogomphus uncatus","species",-0.96,2,1,1
"Odonata","Gomphidae","Onychogomphus/Ophiogomphus","Onychogomphus/Ophiogomphus sp.","genus",-0.96,2,1,1
"Odonata","Gomphidae","Ophiogomphus","Ophiogomphus cecilia","species",-0.96,2,1,1
"Odonata","Gomphidae","Ophiogomphus","Ophiogomphus sp.","genus",-0.96,2,1,1
"Odonata","Gomphidae","Paragomphus","Paragomphus genei","species",-0.96,2,1,1
"Odonata","Gomphidae","Paragomphus","Paragomphus lineatus","species",-0.96,2,1,1
"Odonata","Gomphidae","Paragomphus","Paragomphus sp.","genus",-0.96,2,1,1
"Odonata","Lestidae","Chalcolestes","Chalcolestes sp.","genus",-0.68,1,1,1
"Odonata","Lestidae","Chalcolestes","Chalcolestes viridis","species",-0.68,1,1,1
"Odonata","Lestidae","Lestes","Lestes barbarus","species",-0.68,1,1,1
"Odonata","Lestidae","Lestes","Lestes dryas","species",-0.68,1,1,1
"Odonata","Lestidae","Lestes","Lestes macrostigma","species",-0.68,1,1,1
"Odonata","Lestidae","Lestes","Lestes sp.","genus",-0.68,1,1,1
"Odonata","Lestidae","Lestes","Lestes sponsa","species",-0.68,1,1,1
"Odonata","Lestidae","Lestes","Lestes virens","species",-0.68,1,1,1
"Odonata","Lestidae","Lestidae","Lestidae Gen. sp.","family",-0.68,1,1,1
"Odonata","Lestidae","Lestinae","Lestinae Gen. sp.","genus",-0.68,1,1,1
"Odonata","Lestidae","Sympecma","Sympecma fusca","species",-0.68,1,1,1
"Odonata","Lestidae","Sympecma","Sympecma fusca/paedisca-Gr.","species",-0.68,1,1,1
"Odonata","Lestidae","Sympecma","Sympecma paedisca","species",-0.68,1,1,1
"Odonata","Lestidae","Sympecma","Sympecma sp.","genus",-0.68,1,1,1
"Odonata","Lestidae","Sympecmatinae","Sympecmatinae Gen. sp.","genus",-0.68,1,1,1
"Odonata","Libellulidae","Brachythemis","Brachythemis fuscopalliata","species",-0.96,1.5,1,1
"Odonata","Libellulidae","Brachythemis","Brachythemis leucosticta","species",-0.96,1.5,1,1
"Odonata","Libellulidae","Brachythemis","Brachythemis sp.","genus",-0.96,1.5,1,1
"Odonata","Libellulidae","Crocothemis","Crocothemis erythraea","species",-0.96,1.5,1,1
"Odonata","Libellulidae","Crocothemis","Crocothemis servilia","species",-0.96,1.5,1,1
"Odonata","Libellulidae","Crocothemis","Crocothemis sp.","genus",-0.96,1.5,1,1
"Odonata","Libellulidae","Diplacodes","Diplacodes lefebvrei","species",-0.96,1.5,1,1
"Odonata","Libellulidae","Diplacodes","Diplacodes sp.","genus",-0.96,1.5,1,1
"Odonata","Libellulidae","Leucorrhinia","Leucorrhinia albifrons","species",-0.96,1.5,1,1
"Odonata","Libellulidae","Leucorrhinia","Leucorrhinia caudalis","species",-0.96,1.5,1,1
"Odonata","Libellulidae","Leucorrhinia","Leucorrhinia dubia","species",-0.96,1,1,1
"Odonata","Libellulidae","Leucorrhinia","Leucorrhinia pectoralis","species",-0.96,2,1,1
"Odonata","Libellulidae","Leucorrhinia","Leucorrhinia rubicunda","species",-0.96,1.5,1,1
"Odonata","Libellulidae","Leucorrhinia","Leucorrhinia sp.","genus",-0.96,1.5,1,1
"Odonata","Libellulidae","Leucorrhiniinae","Leucorrhiniinae Gen. sp.","genus",-0.96,1.5,1,1
"Odonata","Libellulidae","Libellula","Libellula depressa","species",-0.96,1,1,1
"Odonata","Libellulidae","Libellula","Libellula fulva","species",-0.96,1.5,1,1
"Odonata","Libellulidae","Libellula","Libellula pontica","species",-0.96,1.5,1,1
"Odonata","Libellulidae","Libellula","Libellula quadrimaculata","species",-0.96,2,1,1
"Odonata","Libellulidae","Libellula","Libellula sp.","genus",-0.96,1.5,1,1
"Odonata","Libellulidae","Libellulidae","Libellulidae Gen. sp.","family",-0.96,1.5,1,1
"Odonata","Libellulidae","Libellulinae","Libellulinae Gen. sp.","genus",-0.96,1.5,1,1
"Odonata","Libellulidae","Orthetrum","Orthetrum albistylum","species",-0.96,2,1,1
"Odonata","Libellulidae","Orthetrum","Orthetrum anceps","species",-0.96,2,1,1
"Odonata","Libellulidae","Orthetrum","Orthetrum brunneum","species",-0.96,2,1,1
"Odonata","Libellulidae","Orthetrum","Orthetrum cancellatum","species",-0.96,2,1,1
"Odonata","Libellulidae","Orthetrum","Orthetrum chrysostigma","species",-0.96,2,1,1
"Odonata","Libellulidae","Orthetrum","Orthetrum coerulescens","species",-0.96,2,1,1
"Odonata","Libellulidae","Orthetrum","Orthetrum nitidinerve","species",-0.96,2,1,1
"Odonata","Libellulidae","Orthetrum","Orthetrum ramburi","species",-0.96,2,1,1
"Odonata","Libellulidae","Orthetrum","Orthetrum ransonneti","species",-0.96,2,1,1
"Odonata","Libellulidae","Orthetrum","Orthetrum sabina","species",-0.96,2,1,1
"Odonata","Libellulidae","Orthetrum","Orthetrum sp.","genus",-0.96,2,1,1
"Odonata","Libellulidae","Orthetrum","Orthetrum taeniolatum","species",-0.96,2,1,1
"Odonata","Libellulidae","Orthetrum","Orthetrum trinacria","species",-0.96,2,1,1
"Odonata","Libellulidae","Pantala","Pantala flavescens","species",-0.96,1.5,1,1
"Odonata","Libellulidae","Pantala","Pantala sp.","genus",-0.96,1.5,1,1
"Odonata","Libellulidae","Selysiothemis","Selysiothemis nigra","species",-0.96,1.5,1,1
"Odonata","Libellulidae","Selysiothemis","Selysiothemis sp.","genus",-0.96,1.5,1,1
"Odonata","Libellulidae","Sympetrinae","Sympetrinae Gen. sp.","genus",-0.96,1.5,1,1
"Odonata","Libellulidae","Sympetrum","Sympetrum danae","species",-0.96,1,1,1
"Odonata","Libellulidae","Sympetrum","Sympetrum decoloratum","species",-0.96,1,1,1
"Odonata","Libellulidae","Sympetrum","Sympetrum depressiusculum","species",-0.96,1,1,1
"Odonata","Libellulidae","Sympetrum","Sympetrum flaveolum","species",-0.96,1,1,1
"Odonata","Libellulidae","Sympetrum","Sympetrum fonscolombei","species",-0.96,1,1,1
"Odonata","Libellulidae","Sympetrum","Sympetrum meridionale","species",-0.96,1,1,1
"Odonata","Libellulidae","Sympetrum","Sympetrum nigrescens","species",-0.96,1,1,1
"Odonata","Libellulidae","Sympetrum","Sympetrum nigrifemur","species",-0.96,1,1,1
"Odonata","Libellulidae","Sympetrum","Sympetrum pedemontanum","species",-0.96,1,1,1
"Odonata","Libellulidae","Sympetrum","Sympetrum sanguineum","species",-0.96,1,1,1
"Odonata","Libellulidae","Sympetrum","Sympetrum sp.","genus",-0.96,1,1,1
"Odonata","Libellulidae","Sympetrum","Sympetrum striolatum","species",-0.96,1,1,1
"Odonata","Libellulidae","Sympetrum","Sympetrum vulgatum","species",-0.96,1,1,1
"Odonata","Libellulidae","Trameinae","Trameinae Gen. sp.","genus",-0.96,1.5,1,1
"Odonata","Libellulidae","Trithemis","Trithemis annulata","species",-0.96,1.5,1,1
"Odonata","Libellulidae","Trithemis","Trithemis arteriosa","species",-0.96,1.5,1,1
"Odonata","Libellulidae","Trithemis","Trithemis festiva","species",-0.96,1.5,1,1
"Odonata","Libellulidae","Trithemis","Trithemis kirbyi","species",-0.96,1.5,1,1
"Odonata","Libellulidae","Trithemis","Trithemis sp.","genus",-0.96,1.5,1,1
"Odonata","Libellulidae","Trithemistinae","Trithemistinae Gen. sp.","genus",-0.96,1.5,1,1
"Odonata","Libellulidae","Urothemis","Urothemis edwardsi","species",-0.96,1.5,1,1
"Odonata","Libellulidae","Urothemis","Urothemis sp.","genus",-0.96,1.5,1,1
"Odonata","Libellulidae","Urothemistinae","Urothemistinae Gen. sp.","genus",-0.96,1.5,1,1
"Odonata","Libellulidae","Zygonychinae","Zygonychinae Gen. sp.","genus",-0.96,1.5,1,1
"Odonata","Libellulidae","Zygonyx","Zygonyx sp.","genus",-0.96,1.5,1,1
"Odonata","Libellulidae","Zygonyx","Zygonyx torridus","species",-0.96,1.5,1,1
"Odonata","Odonata","Odonata","Odonata Gen. sp.","group",-0.96,1.5,1,1
"Odonata","Platycnemididae","Platycnemididae","Platycnemididae Gen. sp.","family",-0.96,1,1,1
"Odonata","Platycnemididae","Platycnemidinae","Platycnemidinae Gen. sp.","genus",-0.96,1,1,1
"Odonata","Platycnemididae","Platycnemis","Platycnemis acutipennis","species",-0.96,1,1,1
"Odonata","Platycnemididae","Platycnemis","Platycnemis acutipennis/latipes","species",-0.96,1,1,1
"Odonata","Platycnemididae","Platycnemis","Platycnemis dealbata","species",-0.96,1,1,1
"Odonata","Platycnemididae","Platycnemis","Platycnemis kervillei","species",-0.96,1,1,1
"Odonata","Platycnemididae","Platycnemis","Platycnemis latipes","species",-0.96,1,1,1
"Odonata","Platycnemididae","Platycnemis","Platycnemis pennipes","species",-0.96,1,1,1
"Odonata","Platycnemididae","Platycnemis","Platycnemis sp.","genus",-0.96,1,1,1
"Odonata","Platycnemididae","Platycnemis","Platycnemis subdilitata","species",-0.96,1,1,1
"Odonata","Zygoptera","Zygoptera","Zygoptera Gen. sp.","family",-0.96,1.5,1,1
"Oligochaeta","Lumbricidae","Lumbricidae","Lumbricidae Gen. sp.","family",-1.1,0.33,1,1
"Oligochaeta","Lumbriculidae","Lumbriculidae","Lumbriculidae Gen. sp.","family",-1.4,0.5,1,1
"Oligochaeta","Naididae","Naididae","Naididae Gen. sp.","family",-1.1,0.5,1,1
"Oligochaeta","Oligochaeta","Oligochaeta","Oligochaeta Gen. sp.","group",-1.1,0.5,1,1
"Oligochaeta","Tubificidae","Tubificidae","Tubificidae Gen. sp.","family",-0.93,0.5,1,1
"Planipennia","Planipennia","Planipennia","Planipennia Gen. sp.","group",NA,0.5,1,1
"Plecoptera","Capniidae","Capnia","Capnia arensi","species",0.38,1,1,1
"Plecoptera","Capniidae","Capnia","Capnia atra","species",0.38,1,1,1
"Plecoptera","Capniidae","Capnia","Capnia bifrons","species",0.38,1,1,1
"Plecoptera","Capniidae","Capnia","Capnia nigra","species",0.38,1,1,1
"Plecoptera","Capniidae","Capnia","Capnia pygmaea","species",0.38,1,1,1
"Plecoptera","Capniidae","Capnia","Capnia sevanica","species",0.38,1,1,1
"Plecoptera","Capniidae","Capnia","Capnia sp.","genus",0.38,1,1,1
"Plecoptera","Capniidae","Capnia","Capnia tuberculata","species",0.38,1,1,1
"Plecoptera","Capniidae","Capnia","Capnia vidua ssp.","subspecies",0.38,1,1,1
"Plecoptera","Capniidae","Capnia","Capnia zaicevi","species",0.38,1,1,1
"Plecoptera","Capniidae","Capniidae","Capniidae Gen. sp.","family",0.38,1,1,1
"Plecoptera","Capniidae","Capnioneura","Capnioneura  valandovi","species",0.38,1,1,1
"Plecoptera","Capniidae","Capnioneura","Capnioneura aptera","species",0.38,1,1,1
"Plecoptera","Capniidae","Capnioneura","Capnioneura balkanica ssp.","subspecies",0.38,1,1,1
"Plecoptera","Capniidae","Capnioneura","Capnioneura brachyptera","species",0.38,1,1,1
"Plecoptera","Capniidae","Capnioneura","Capnioneura caucasica","species",0.38,1,1,1
"Plecoptera","Capniidae","Capnioneura","Capnioneura gelesae","species",0.38,1,1,1
"Plecoptera","Capniidae","Capnioneura","Capnioneura libera","species",0.38,1,1,1
"Plecoptera","Capniidae","Capnioneura","Capnioneura mitis","species",0.38,1,1,1
"Plecoptera","Capniidae","Capnioneura","Capnioneura narcea","species",0.38,1,1,1
"Plecoptera","Capniidae","Capnioneura","Capnioneura nemuroides","species",0.38,1,1,1
"Plecoptera","Capniidae","Capnioneura","Capnioneura petitpierreae","species",0.38,1,1,1
"Plecoptera","Capniidae","Capnioneura","Capnioneura petricola","species",0.38,1,1,1
"Plecoptera","Capniidae","Capnioneura","Capnioneura sp.","genus",0.38,1,1,1
"Plecoptera","Capniidae","Capnopsis","Capnopsis schilleri ssp.","subspecies",0.38,1,1,1
"Plecoptera","Capniidae","Capnopsis","Capnopsis sp.","genus",0.38,1,1,1
"Plecoptera","Capniidae","Mesocapnia","Mesocapnia sp.","genus",0.38,1,1,1
"Plecoptera","Capniidae","Mesocapnia","Mesocapnia variabilis","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Chloroperla","Chloroperla acuta","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Chloroperla","Chloroperla brachyptera","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Chloroperla","Chloroperla breviata","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Chloroperla","Chloroperla kisi","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Chloroperla","Chloroperla kosarovi","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Chloroperla","Chloroperla nevada","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Chloroperla","Chloroperla russevi","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Chloroperla","Chloroperla sp.","genus",0.38,1,1,1
"Plecoptera","Chloroperlidae","Chloroperla","Chloroperla susemicheli","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Chloroperla","Chloroperla tripunctata","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Chloroperla","Chloroperla zhiltzovae","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Chloroperlidae","Chloroperlidae Gen. sp.","family",0.38,1,1,1
"Plecoptera","Chloroperlidae","Isoptena","Isoptena serricornis","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Isoptena","Isoptena sp.","genus",0.38,1,1,1
"Plecoptera","Chloroperlidae","Plesioperla","Plesioperla sakartvella","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Plesioperla","Plesioperla sp.","genus",0.38,1,1,1
"Plecoptera","Chloroperlidae","Pontoperla","Pontoperla katherinae","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Pontoperla","Pontoperla sp.","genus",0.38,1,1,1
"Plecoptera","Chloroperlidae","Pontoperla","Pontoperla teberdinica","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Siphonoperla","Siphonoperla baetica","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Siphonoperla","Siphonoperla burmeisteri","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Siphonoperla","Siphonoperla graeca","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Siphonoperla","Siphonoperla hajastanica","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Siphonoperla","Siphonoperla lepineyi","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Siphonoperla","Siphonoperla libanica","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Siphonoperla","Siphonoperla montana","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Siphonoperla","Siphonoperla neglecta","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Siphonoperla","Siphonoperla ottomoogi","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Siphonoperla","Siphonoperla sp.","genus",0.38,1,1,1
"Plecoptera","Chloroperlidae","Siphonoperla","Siphonoperla taurica","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Siphonoperla","Siphonoperla torrentium ssp.","subspecies",0.38,1,1,1
"Plecoptera","Chloroperlidae","Xanthoperla","Xanthoperla apicalis","species",0.38,1,1,1
"Plecoptera","Chloroperlidae","Xanthoperla","Xanthoperla sp.","genus",0.38,1,1,1
"Plecoptera","Chloroperlidae","Xanthoperla","Xanthoperla yerkoyi","species",0.38,1,1,1
"Plecoptera","Euholognatha","Euholognatha","Euholognatha Gen. sp.","family",0.38,1,1,1
"Plecoptera","Euholognatha","Leuctridae/Capniidae","Leuctridae/Capniidae Gen. sp.","genus",0.38,1,1,1
"Plecoptera","Euholognatha","Leuctridae/Capniidae/Nemouridae","Leuctridae/Capniidae/Nemouridae Gen. sp.","genus",0.38,1,1,1
"Plecoptera","Leuctridae","Capnia/Leuctra","Capnia/Leuctra sp.","genus",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra aculeata","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra aegaeica","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra albida","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra alosi","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra alpina","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra alticola","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra ameliae","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra anatolica","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra andalusiaca","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra annae","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra antalyana","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra apenninicola","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra aptera","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra archimedis","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra ariega","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra armata","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra artvinensis","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra aspoeckorum","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra astridae","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra auberti","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra auriensis","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra auriensis/hispanica","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra aurita","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra autumnalis","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra balcanica","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra balearica","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra berthelemyi","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra besucheti","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra bidula","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra boluensis","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra boreoni","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra bozi","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra brachyptera","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra braueri","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra braueri/nigra","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra brevipennis","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra bronislawi","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra budtzi","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra canavensis","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra candiae","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra caprai","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra carpathica","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra castillana","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra cazorlana","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra cingulata","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra clerguae","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra collaris","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra concii","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra costai","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra cretica","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra crimeana","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra cypria","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra cyrnea ssp.","subspecies",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra dalmoni","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra delamellata","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra despaxi","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra digitata","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra digitata/fusca/hippopus","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra dispinata","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra dissimilis","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra dolasilla","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra dylani","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra elisabethae","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra espanoli","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra estrela","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra festai","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra flavomaculata","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra franzi","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra fraterna","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra furcatella","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra fusca-Gr.","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra fusca ssp.","subspecies",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra gallaeca","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra gallica","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra gardinii","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra garumna","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra geniculata","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra graeca","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra handlirschi","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra helenae","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra helvetica","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra hexacantha","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra hexacanthoides","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra hiberiaca","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra hippopoides","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra hippopus","species",0.38,1,1,1
"Plecoptera","Leuctridae","Leuctra","Leuctra hippopus-Gr.","species",0.38,1,1,1
